r_expl,id,title,author1,author_gender,category,frmt1,frmt2
7254,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
7253,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
7248,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
7233,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
7218,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
7201,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
7187,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
7179,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
7169,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
7131,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
7130,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
7117,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
7105,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
7077,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
7020,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
7017,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
7011,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
6972,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
6961,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
6921,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
6873,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
6848,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
6835,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
6822,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
6815,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
6794,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
6782,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
6742,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
6733,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
6709,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
6677,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
6655,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
6650,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
6633,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
6583,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
6581,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
6568,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
6563,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
6479,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
6394,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
6393,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
6333,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
6325,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
6302,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
6299,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
6273,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
6246,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
6206,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
6202,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
6156,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
6152,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
6139,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
6130,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
6099,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
6041,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
6024,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
6020,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
6002,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
5991,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
5982,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
5974,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
5953,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
5885,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
5832,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
5803,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
5782,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
5734,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
5724,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
5723,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
5718,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
5680,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
5664,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
5661,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
5660,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
5654,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
5614,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
5601,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
5548,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
5529,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
5486,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
5478,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
5472,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
5431,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
5389,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
5363,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
5351,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
5311,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
5306,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
5288,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
5287,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
5265,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
5217,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
5212,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
5192,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
5083,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
5040,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
4956,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
4919,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
4901,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
4877,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
4818,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
4805,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
4683,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
4679,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
4659,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
4564,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
4533,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
4482,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
4457,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
4341,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
4073,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
3995,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
3862,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
3298,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
