p_pn,id,title,author1,author_gender,category,frmt1,frmt2
114984,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
114890,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
114886,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
114668,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
114294,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
114265,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
114107,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
114066,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
114012,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
113913,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
113885,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
113816,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
113659,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
113402,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
113350,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
113166,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
113124,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
113114,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
112932,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
112740,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
112657,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
112202,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
111772,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
111708,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
111595,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
111507,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
111234,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
111185,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
110452,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
110426,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
