r_fixed,id,title,author1,author_gender,category,frmt1,frmt2
11620,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
11602,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
11600,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
11580,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
11564,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
11541,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
11533,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
11533,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
11528,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
11518,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
11493,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
11416,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
11404,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
11336,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
11306,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
11281,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
11197,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
11157,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
11106,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
11105,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
11062,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
11055,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
11048,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
10860,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
10849,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
10833,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
10777,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
10758,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
10533,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
10497,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
10481,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
10466,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
10439,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
10429,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
10418,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
10390,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
10382,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
10377,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
10355,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
10333,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
10213,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
10209,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
10188,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
10061,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
10030,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
9943,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
9933,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
9901,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
9899,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
9818,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
9705,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
9703,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
9694,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
9619,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
9573,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
9564,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
9396,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
9066,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
9025,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
9021,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
8959,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
8944,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
8814,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
8634,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
8616,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
8572,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
8529,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
8505,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
8476,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
8474,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
8381,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
8348,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
8336,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
8326,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
7929,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
7926,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
7817,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
7595,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
7357,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
6110,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
