r_det,id,title,author1,author_gender,category,frmt1,frmt2
40401,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
40155,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
40115,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
40110,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
39971,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
39970,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
39850,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
39803,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
39737,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
39695,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
39630,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
39498,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
39497,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
39470,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
39406,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
39381,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
39103,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
38900,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
38867,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
38651,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
38596,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
38448,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
38366,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
38275,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
38202,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
38144,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
37967,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
37912,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
37837,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
37824,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
37784,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
37733,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
37692,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
37684,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
37505,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
37488,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
37453,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
37278,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
37258,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
37225,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
37219,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
37174,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
37039,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
37035,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
36837,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
36804,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
36667,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
36608,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
36545,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
36382,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
36357,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
36348,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
36071,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
35911,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
35896,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
35727,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
35608,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
35435,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
35420,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
35341,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
35339,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
35250,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
35201,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
35195,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
35052,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
34865,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
34788,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
34784,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
34663,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
34623,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
34616,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
34570,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
34561,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
34487,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
34351,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
34269,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
34154,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
34071,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
33986,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
33978,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
33921,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
33868,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
33768,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
33692,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
33648,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
33638,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
33570,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
33366,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
33294,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
33250,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
33101,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
32993,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
32976,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
32939,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
32916,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
32776,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
32737,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
32642,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
32634,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
32554,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
32514,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
32476,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
32474,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
32364,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
32326,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
32272,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
32023,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
31878,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
31785,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
31701,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
31687,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
31681,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
31557,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
31473,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
31440,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
31258,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
31239,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
31147,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
31117,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
30919,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
30898,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
30708,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
30695,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
30685,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
30671,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
30413,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
30309,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
29814,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
29781,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
29724,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
29587,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
29569,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
29492,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
29477,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
29250,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
29139,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
29104,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
28688,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
28378,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
27848,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
27830,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
27718,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
26868,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
25488,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
