r_parataxis,id,title,author1,author_gender,category,frmt1,frmt2
14554,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
14553,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
14410,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
14331,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
14315,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
14291,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
14219,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
14147,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
14133,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
13934,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
13865,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
13811,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
13667,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
13575,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
13572,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
13547,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
13459,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
13410,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
13371,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
13335,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
13312,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
13243,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
13238,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
13131,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
13078,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
13027,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
13007,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
12986,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
12901,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
12865,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
12802,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
12800,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
12683,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
12667,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
12569,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
12544,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
12543,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
12518,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
12405,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
12250,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
12226,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
12098,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
12050,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
11996,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
11989,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
11945,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
11922,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
