r_cop,id,title,author1,author_gender,category,frmt1,frmt2
19621,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
19615,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
19534,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
19518,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
19483,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
19425,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
19378,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
19303,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
19279,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
19244,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
19193,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
19134,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
19111,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
19092,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
19061,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
19049,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
19016,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
18986,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
18978,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
18963,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
18931,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
18931,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
18914,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
18896,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
18839,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
18765,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
18745,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
18698,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
18656,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
18652,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
18588,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
18584,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
18546,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
18543,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
18540,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
18468,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
18442,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
18397,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
18337,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
18289,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
18288,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
18284,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
18271,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
18269,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
18217,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
18217,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
18167,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
18135,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
18006,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
17985,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
17950,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
17947,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
17879,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
17863,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
17858,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
17812,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
17765,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
17717,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
17703,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
17698,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
17648,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
17642,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
17639,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
17607,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
17589,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
17575,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
17569,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
17465,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
17463,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
17462,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
17443,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
17388,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
17363,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
17359,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
17352,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
17324,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
17319,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
17276,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
17275,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
17266,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
17208,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
17163,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
17111,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
17094,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
17079,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
17047,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
17044,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
17023,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
17023,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
17014,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
16999,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
16992,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
16932,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
16911,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
16908,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
16894,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
16887,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
16748,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
16657,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
16612,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
16525,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
16506,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
16483,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
16259,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
16164,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
16163,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
16097,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
16065,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
15974,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
15970,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
15777,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
15742,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
15637,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
15627,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
15533,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
15509,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
15399,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
15263,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
15229,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
15100,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
14742,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
14721,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
14700,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
14689,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
14572,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
14442,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
14377,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
14355,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
14336,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
14321,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
14304,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
14245,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
13988,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
13974,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
13868,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
13782,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
13776,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
13747,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
13504,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
13384,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
13345,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
12983,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
12279,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
