r_iobj,id,title,author1,author_gender,category,frmt1,frmt2
2030,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
2028,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
2022,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
2018,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
2008,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
1975,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
1957,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
1950,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
1949,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
1949,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
1943,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
1927,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
1926,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
1897,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
1893,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
1887,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
1884,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
1883,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1880,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
1863,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
1854,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
1851,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
1850,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
1845,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
1841,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
1840,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
1837,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
1830,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
1829,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
1828,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
1822,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
1821,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
1819,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1812,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
1797,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
1793,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
1791,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
1789,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
1788,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
1785,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
1780,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
1766,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
1761,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
1759,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
1752,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
1750,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
1749,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
1738,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
1732,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
1731,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
1725,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
1717,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
1713,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
1713,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
1712,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
1709,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
1699,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
1698,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
1697,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
1696,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1692,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
1691,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
1686,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
1686,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
1684,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
1678,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
1676,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
1674,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
1668,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
1666,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
1654,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
1653,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
1651,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
1648,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
1647,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
1646,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
1642,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
1641,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
1639,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
1634,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
1632,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
1620,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
1617,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
1614,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
1606,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
1583,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
1582,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
1577,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
1572,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
1541,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
1537,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
1531,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
1518,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
1516,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
1513,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
1507,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
1506,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
1493,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
1482,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
1476,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
1463,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
1459,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
1450,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
1444,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
1429,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
1426,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
1402,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
1392,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
1379,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
1369,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
1352,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
1350,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
1335,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
1325,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
1307,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
1294,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
1294,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
1285,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
1252,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
1241,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
1205,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
1203,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
1181,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
939,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
