r_obl,id,title,author1,author_gender,category,frmt1,frmt2
60495,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
60389,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
60303,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
60163,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
60161,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
60127,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
59988,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
59956,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
59953,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
59938,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
59935,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
59783,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
59758,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
59758,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
59757,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
59727,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
59665,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
59438,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
59333,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
59151,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
59146,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
59118,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
58974,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
58971,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
58713,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
58649,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
58583,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
58563,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
58556,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
58547,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
58479,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
58453,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
58391,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
58317,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
58289,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
58266,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
58253,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
58143,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
58012,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
57975,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
57940,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
57907,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
57817,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
57802,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
57775,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
57676,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
57613,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
57609,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
57603,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
57471,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
57469,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
57399,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
57264,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
57218,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
57126,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
57100,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
57057,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
56813,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
56716,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
56557,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
56475,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
56402,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
56400,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
56303,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
56297,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
56262,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
56203,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
56116,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
56077,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
56055,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
55838,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
55607,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
55599,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
55470,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
55420,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
55329,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
55267,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
55266,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
55228,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
55191,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
55064,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
54778,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
54775,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
54749,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
54704,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
54651,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
54537,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
54511,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
54505,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
54407,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
54276,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
54069,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
54052,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
54037,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
54022,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
53764,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
53737,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
53697,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
53694,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
53650,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
53612,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
53547,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
53433,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
53406,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
53378,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
53224,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
53148,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
53126,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
53093,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
52802,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
52785,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
52656,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
52584,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
52519,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
52470,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
52284,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
52195,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
51748,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
51703,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
51688,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
51569,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
51569,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
51481,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
51331,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
51145,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
51101,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
50838,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
50341,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
49838,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
49705,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
49551,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
49531,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
49299,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
49258,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
49123,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
49113,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
49106,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
48751,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
47542,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
47102,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
46598,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
44890,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
44480,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
