r_case,id,title,author1,author_gender,category,frmt1,frmt2
79307,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
79202,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
79131,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
78962,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
78580,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
78458,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
78219,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
77958,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
77835,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
77824,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
77802,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
77766,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
77611,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
77608,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
77499,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
77482,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
77374,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
77356,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
77267,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
77257,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
77247,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
77216,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
77152,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
77125,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
77094,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
76585,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
76479,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
76388,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
76310,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
76229,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
76120,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
76031,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
75979,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
75929,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
75828,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
75803,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
75679,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
75605,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
75603,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
75516,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
75355,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
75147,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
75125,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
74969,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
74900,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
74669,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
74659,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
74192,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
74175,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
73809,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
73772,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
73550,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
73509,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
73458,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
73434,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
73356,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
73152,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
73001,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
72873,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
72773,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
72755,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
72690,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
72689,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
72655,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
72599,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
72487,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
72396,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
72369,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
72308,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
72181,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
72118,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
72113,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
71786,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
71576,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
71399,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
71237,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
71211,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
71050,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
70627,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
70624,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
70592,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
70563,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
70452,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
70348,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
70216,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
69997,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
69819,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
69711,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
69666,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
69445,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
69423,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
69342,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
69184,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
69167,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
68983,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
68823,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
68535,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
68475,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
68415,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
68407,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
68348,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
68234,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
68100,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
67789,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
67756,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
67577,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
67540,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
67533,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
67515,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
67489,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
67303,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
67241,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
67013,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
66940,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
66844,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
66472,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
65881,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
65462,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
65294,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
64833,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
64653,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
63681,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
63563,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
62925,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
62831,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
62359,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
62195,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
61283,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
60254,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
60244,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
59872,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
