p_mi,id,title,author1,author_gender,category,frmt1,frmt2
60821,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
60772,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
60626,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
60569,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
60398,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
60384,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
60165,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
60057,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
59799,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
59446,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
59287,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
58808,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
58798,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
58792,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
58688,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
58556,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
58313,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
58297,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
58137,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
58054,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
57865,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
57407,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
56645,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
56582,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
56256,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
56255,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
56233,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
56231,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
56079,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
56040,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
55810,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
55758,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
55430,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
55157,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
54863,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
54858,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
54547,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
54393,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
54351,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
54234,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
