r_compound,id,title,author1,author_gender,category,frmt1,frmt2
122,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
121,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
117,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
115,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
115,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
114,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
112,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
112,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
111,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
111,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
111,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
110,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
109,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
107,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
106,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
106,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
102,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
102,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
102,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
98,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
97,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
96,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
95,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
93,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
93,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
90,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
90,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
90,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
89,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
89,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
88,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
88,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
86,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
86,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
85,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
85,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
84,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
84,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
82,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
81,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
81,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
80,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
79,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
79,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
77,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
72,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
72,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
70,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
68,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
67,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
67,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
66,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
65,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
63,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
61,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
61,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
60,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
60,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
58,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
58,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
57,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
56,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
55,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
51,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
50,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
50,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
50,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
48,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
48,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
46,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
46,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
44,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
43,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
43,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
41,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
41,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
40,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
40,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
40,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
39,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
36,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
36,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
35,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
34,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
31,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
30,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
29,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
29,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
29,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
28,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
27,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
27,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
27,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
24,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
24,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
23,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
23,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
22,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
20,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
19,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
18,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
17,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
16,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
12,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
10,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
10,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
10,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
9,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
9,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
8,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
8,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
0,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
0,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
