r_flat:name,id,title,author1,author_gender,category,frmt1,frmt2
5252,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
5250,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
5198,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
5148,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
5122,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
4977,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
4945,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
4906,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
4890,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
4871,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
4868,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
4848,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
4841,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
4769,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
4575,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
4517,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
4484,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
4417,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
4300,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
4287,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
4276,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
4269,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
4229,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
4228,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
4220,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
4218,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
4189,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
4146,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
4087,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
3976,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
3961,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
3924,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
3920,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
3849,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
3844,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
3812,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
3765,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
3757,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
3750,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
3664,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
3619,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
3580,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
3565,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
3537,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
3460,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
3441,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
3432,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
3403,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
3371,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
3338,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
3313,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
3272,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
3266,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
3266,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
3246,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
3066,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
3021,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
2998,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
2962,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
2925,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
2915,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
2908,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
2881,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
2866,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
2857,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
2825,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
2812,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
2754,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
2734,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
2714,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
2657,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
2638,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
2636,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
2596,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
2580,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
2540,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
2503,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
2481,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
2475,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
2433,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
2404,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
2288,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
2238,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
2197,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
2182,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
2055,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
2034,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
2030,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
2002,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
1966,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
1946,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
1922,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
1912,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
1895,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
1894,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
1888,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
1866,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
1850,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
1828,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
1693,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
1688,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
1656,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
1588,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1567,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
1547,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
1532,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
1512,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
1499,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
1470,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1431,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
1427,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
1413,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
1395,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
1387,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
1376,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
1358,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
1354,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
1328,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
1322,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
1303,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1290,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
1230,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
1206,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
1195,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
1182,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
1180,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
1153,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
1131,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
1131,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
1043,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
1041,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
982,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
978,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
905,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
739,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
727,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
713,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
701,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
651,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
621,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
380,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
286,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
