r_csubj,id,title,author1,author_gender,category,frmt1,frmt2
1971,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
1963,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
1956,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
1943,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
1941,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
1936,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
1925,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
1919,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
1915,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
1909,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1901,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
1871,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
1866,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
1853,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
1844,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
1841,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
1840,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
1838,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
1834,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
1830,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
1816,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
1808,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
1802,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
1792,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
1778,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
1758,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
1758,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
1752,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
1750,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
1749,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
1745,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
1742,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
1738,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
1735,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
1735,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
1734,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
1728,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
1719,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
1718,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
1715,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
1706,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
1695,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
1689,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
1678,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
1676,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
1673,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
1651,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
1647,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
1629,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
1619,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
1615,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
1613,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1605,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
1603,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
1594,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
1592,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
1589,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
1587,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
1582,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
1581,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
1577,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
1576,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
1570,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
1570,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
1567,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
1566,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
1565,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
1549,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1513,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
1511,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
1510,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
1491,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
1488,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
1481,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
1476,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
1468,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
1467,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
1456,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
1456,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
1446,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
1396,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
1379,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
1356,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
1327,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
1325,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
1312,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
1290,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
1289,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
1273,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
1246,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
1210,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
1154,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
1149,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
1108,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
1098,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
1061,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
1059,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
1045,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
