r_nsubj:pass,id,title,author1,author_gender,category,frmt1,frmt2
5012,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
5006,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
4948,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
4938,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
4928,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
4917,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
4898,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
4846,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
4805,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
4779,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
4774,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
4773,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
4766,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
4753,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
4727,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
4703,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
4666,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
4659,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
4659,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
4625,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
4623,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
4612,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
4574,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
4566,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
4556,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
4555,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
4553,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
4538,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
4473,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
4470,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
4454,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
4441,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
4437,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
4425,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
4416,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
4412,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
4357,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
4356,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
4337,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
4323,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
4322,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
4305,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
4291,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
4272,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
4268,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
4255,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
4238,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
4227,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
4227,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
4214,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
4210,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
4207,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
4203,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
4201,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
4186,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
4186,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
4153,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
4153,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
4152,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
4113,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
4088,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
4088,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
4068,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
4063,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
4061,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
4055,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
4054,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
4034,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
4033,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
4019,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
4007,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
3975,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
3967,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
3964,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
3930,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
3900,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
3889,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
3879,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
3874,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
3863,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
3837,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
3827,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
3826,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
3812,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
3774,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
3771,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
3753,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
3743,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
3743,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
3727,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
3703,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
3679,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
3669,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
3664,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
3600,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
3582,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
3520,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
3519,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
3518,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
3473,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
3472,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
3464,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
3460,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
3443,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
3412,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
3404,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
3375,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
3312,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
3287,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
3256,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
3250,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
3223,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
3219,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
3184,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
3159,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
3135,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
3118,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
3021,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
3017,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
2971,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
2929,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
2928,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
2869,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
2858,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
2829,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
2767,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
2564,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
