r_xcomp,id,title,author1,author_gender,category,frmt1,frmt2
11255,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
11220,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
11197,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
11174,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
11145,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
11103,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
11046,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
10953,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
10943,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
10942,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
10927,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
10860,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
10834,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
10775,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
10772,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
10733,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
10645,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
10481,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
10454,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
10287,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
10221,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
10006,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
9981,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
9940,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
9867,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
9832,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
9775,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
9709,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
9425,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
9325,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
9264,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
9205,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
9199,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
8558,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
