p_ie,id,title,author1,author_gender,category,frmt1,frmt2
11126,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
11108,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
11108,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
11091,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
11056,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
11021,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
10988,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
10969,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
10939,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
10922,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
10869,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
10848,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
10847,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
10781,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
10711,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
10708,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
10697,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
10657,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
10644,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
10588,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
10582,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
10507,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
10477,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
10472,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
10464,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
10356,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
10353,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
10338,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
10315,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
10272,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
10263,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
10246,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
10186,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
10116,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
9959,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
9957,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
9901,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
9898,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
9867,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
9838,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
9831,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
9803,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
9770,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
9751,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
9712,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
9679,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
9679,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
9603,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
9548,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
9547,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
9535,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
9481,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
9426,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
9423,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
9345,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
9327,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
9295,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
9256,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
9245,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
9183,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
9175,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
9139,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
9122,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
9101,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
9095,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
9062,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
9024,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
8962,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
8957,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
8833,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
8803,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
8796,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
8753,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
8753,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
8711,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
8664,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
8613,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
8557,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
8516,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
8435,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
8399,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
8399,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
8344,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
8303,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
8285,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
8183,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
8066,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
8018,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
7912,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
7833,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
7826,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
7825,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
7824,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
7815,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
7800,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
7721,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
7708,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
7668,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
7523,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
7416,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
7371,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
7348,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
7329,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
7285,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
7263,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
7211,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
7132,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
7102,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
7059,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
7032,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
7030,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
6773,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
6694,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
6650,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
6482,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
6030,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
4979,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
