r_nmod:poss,id,title,author1,author_gender,category,frmt1,frmt2
17887,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
17837,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
17772,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
17749,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
17741,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
17692,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
17670,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
17622,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
17597,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
17561,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
17539,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
17457,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
17445,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
17410,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
17398,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
17293,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
17249,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
17229,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
17179,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
16945,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
16896,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
16885,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
16853,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
16789,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
16773,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
16757,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
16754,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
16710,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
16699,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
16605,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
16589,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
16580,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
16572,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
16554,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
16551,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
16458,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
16394,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
16393,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
16267,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
16208,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
16158,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
16144,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
16113,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
16060,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
16044,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
15988,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
15960,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
15735,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
15727,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
15641,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
15638,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
15606,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
15532,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
15455,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
15337,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
15321,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
15268,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
15220,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
15165,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
15068,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
14951,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
14914,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
14883,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
14790,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
14789,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
14718,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
14706,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
14681,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
14675,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
14625,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
14619,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
14583,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
14566,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
14539,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
14505,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
14385,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
14338,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
14309,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
14245,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
14100,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
14088,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
14063,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
13988,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
13983,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
13967,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
13951,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
13942,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
13921,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
13659,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
13649,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
13632,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
13538,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
13527,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
13449,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
13448,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
13386,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
13362,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
13229,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
13197,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
13180,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
13088,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
13066,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
13047,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
13042,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
12715,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
12512,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
12459,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
12431,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
12327,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
12302,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
12292,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
12258,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
12111,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
11973,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
11965,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
11951,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
11882,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
11675,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
11368,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
11235,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
11121,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
10997,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
10988,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
9900,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
8801,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
