p_ps,id,title,author1,author_gender,category,frmt1,frmt2
10751,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
10736,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
10730,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
10729,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
10697,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
10667,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
10607,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
10586,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
10549,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
10459,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
10434,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
10428,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
10387,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
10377,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
10344,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
10293,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
10233,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
10182,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
10159,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
10036,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
9997,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
9987,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
9873,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
9870,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
9821,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
9679,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
9659,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
9596,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
9515,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
9509,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
9463,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
9388,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
9331,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
9282,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
9203,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
9198,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
9192,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
9164,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
9095,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
9086,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
9076,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
8998,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
8893,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
8741,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
8705,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
8697,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
8678,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
8665,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
8627,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
8596,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
8507,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
8506,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
8498,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
8406,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
8392,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
8296,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
8277,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
8230,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
8154,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
8025,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
8017,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
7876,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
7445,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
7441,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
7376,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
6709,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
6334,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
5112,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
