r_root,id,title,author1,author_gender,category,frmt1,frmt2
79325,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
78959,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
78893,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
78814,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
78668,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
78466,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
78304,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
78238,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
78236,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
78211,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
78030,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
77939,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
77703,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
77518,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
77405,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
77342,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
77191,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
77190,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
76952,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
76640,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
76556,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
76503,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
76371,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
76127,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
76081,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
75799,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
75322,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
75303,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
