r_discourse,id,title,author1,author_gender,category,frmt1,frmt2
1429,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
1429,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
1428,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
1422,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
1416,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
1410,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
1396,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
1379,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
1372,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
1372,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
1346,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
1317,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
1313,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
1312,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
1308,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
1299,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
1292,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
1288,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
1285,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
1269,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
1262,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
1254,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
1242,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
1237,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
1230,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
1212,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
1211,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
1209,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
1189,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
1187,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
1151,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
1150,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
1139,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
1138,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
1137,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
1134,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
1108,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
1104,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
1099,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
1096,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
1067,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
1065,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
1064,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
1058,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
1057,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
1050,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
1047,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
1047,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
1047,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
1040,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
1034,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
1031,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
1027,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
1020,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
1007,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
996,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
953,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
947,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
944,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
943,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
922,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
896,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
893,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
889,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
887,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
885,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
878,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
877,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
856,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
851,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
849,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
847,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
841,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
838,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
837,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
812,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
811,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
796,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
793,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
776,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
770,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
762,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
747,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
741,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
741,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
732,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
713,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
713,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
706,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
702,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
702,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
692,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
676,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
670,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
667,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
640,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
631,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
620,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
586,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
569,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
565,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
560,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
558,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
555,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
555,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
553,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
553,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
547,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
545,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
541,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
491,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
475,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
467,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
465,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
448,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
437,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
436,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
435,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
434,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
427,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
417,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
412,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
411,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
341,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
338,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
326,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
321,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
315,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
314,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
303,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
297,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
291,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
264,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
264,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
236,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
228,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
225,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
210,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
172,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
164,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
152,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
149,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
