p_ha,id,title,author1,author2,author_gender,category,frmt1,frmt2
8385,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
8290,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
8257,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
8244,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
8196,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
8190,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
8187,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
8180,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
8178,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
8169,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
8119,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
8113,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
8078,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
8064,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
8043,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
7934,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
7855,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
7670,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
7623,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
7560,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
7543,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
7480,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
7410,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
7186,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
7054,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
7040,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
