p_pm,id,title,author1,author2,author_gender,category,frmt1,frmt2
34019,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
33989,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
33643,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
33302,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
33208,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
32816,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
32595,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
32409,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
32364,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
32361,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
32359,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
32290,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
31685,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
31672,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
31286,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
31244,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
31242,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
31162,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
31055,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
30959,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
30840,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
30827,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
30812,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
30676,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
30610,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
30481,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
30382,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
30153,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
29996,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
29977,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
29914,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
29839,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
29147,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
29001,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
28967,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
28864,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
28308,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
28041,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
28032,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
27883,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
27757,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
27671,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
27616,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
27127,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
26733,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
26499,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
26231,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
25903,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
25838,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
25608,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
25566,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
25559,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
25357,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
24939,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
24794,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
24422,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
24399,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
24344,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
24082,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
23526,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
23125,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
23105,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
23023,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
21977,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
20615,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
20396,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
19356,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
19046,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
18364,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
18243,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
18193,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
18034,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
16841,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
16176,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
15810,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
15149,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
15128,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
12376,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
10607,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
