p_vb,id,title,author1,author_gender,category,frmt1,frmt2
181439,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
181422,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
181045,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
180924,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
180897,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
180515,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
180214,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
180120,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
180089,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
179971,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
179823,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
179687,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
179494,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
179146,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
178973,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
178650,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
178121,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
177921,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
177888,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
177858,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
177826,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
177692,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
177657,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
177409,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
177330,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
177022,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
176943,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
176189,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
176025,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
175874,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
175597,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
175295,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
175173,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
174984,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
174977,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
174602,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
174498,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
174415,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
174339,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
173203,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
172346,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
171904,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
171848,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
171540,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
171436,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
171351,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
171160,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
171061,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
170532,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
170230,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
169353,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
168438,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
168372,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
167188,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
166892,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
166875,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
166843,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
165326,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
164578,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
163846,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
163265,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
163119,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
162802,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
161723,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
160738,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
155238,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
153448,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
151361,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
149122,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
148072,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
147370,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
