r_obj,id,title,author1,author_gender,category,frmt1,frmt2
55442,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
55434,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
55431,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
55425,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
55401,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
55368,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
55050,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
55002,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
54946,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
54907,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
54836,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
54819,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
54788,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
54775,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
54760,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
54744,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
54739,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
54722,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
54512,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
54482,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
54472,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
54467,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
54451,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
54362,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
54340,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
54309,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
54262,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
54179,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
54142,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
54117,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
54084,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
53963,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
53873,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
53736,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
53710,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
53704,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
53499,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
53366,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
53306,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
53274,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
53221,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
53219,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
53188,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
53067,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
52987,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
52835,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
