r_acl,id,title,author1,author_gender,category,frmt1,frmt2
3882,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
3877,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
3874,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
3870,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
3864,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
3850,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
3843,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
3839,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
3833,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
3833,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
3832,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
3821,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
3816,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
3810,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
3809,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
3798,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
3789,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
3788,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
3788,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
3773,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
3761,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
3760,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
3736,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
3690,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
3684,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
3682,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
3678,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
3677,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
3676,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
3671,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
3656,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
3655,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
3638,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
3638,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
3634,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
3603,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
3587,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
3576,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
3573,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
3569,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
3540,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
3533,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
3532,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
3526,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
3525,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
3521,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
3516,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
3505,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
3493,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
3474,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
3460,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
3389,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
3381,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
3367,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
3362,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
3280,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
3276,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
3183,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
3163,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
3143,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
3087,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
3036,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
3014,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
2970,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
2963,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
2932,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
2866,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
2761,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
2608,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
