ttrJJ,id,title,author1,author2,author_gender,category,frmt1,frmt2
469,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
469,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
468,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
467,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
467,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
467,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
467,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
466,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
465,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
464,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
463,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
463,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
463,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
461,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
461,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
460,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
460,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
460,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
459,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
458,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
458,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
458,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
458,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
457,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
455,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
455,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
455,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
454,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
452,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
451,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
450,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
450,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
448,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
448,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
446,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
446,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
445,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
444,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
444,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
443,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
442,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
442,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
441,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
440,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
439,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
438,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
438,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
437,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
436,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
436,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
434,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
431,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
431,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
430,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
429,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
426,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
425,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
425,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
423,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
419,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
417,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
413,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
410,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
410,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
404,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
400,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
400,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
399,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
394,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
391,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
388,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
387,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
374,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
364,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
360,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
356,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
348,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
