r_compound:prt,id,title,author1,author_gender,category,frmt1,frmt2
17117,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
17075,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
17073,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
17041,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
17013,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
17001,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
16786,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
16616,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
16604,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
16409,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
16245,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
16188,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
16030,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
15848,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
15843,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
15679,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
15613,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
15605,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
15298,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
15248,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
15231,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
15074,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
14794,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
14727,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
14696,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
14500,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
14494,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
14374,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
14239,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
13566,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
13531,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
13394,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
13336,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
12951,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
12744,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
11972,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
11619,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
