common,id,title,author1,author2,author_gender,category,frmt1,frmt2
762,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
762,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
762,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
761,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
761,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
760,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
760,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
760,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
760,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
759,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
759,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
759,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
758,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
758,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
757,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
756,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
756,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
756,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
756,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
755,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
755,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
755,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
755,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
754,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
754,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
754,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
754,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
754,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
754,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
753,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
752,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
751,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
751,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
750,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
750,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
750,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
750,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
749,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
748,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
748,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
748,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
748,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
748,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
748,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
747,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
746,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
745,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
744,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
744,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
744,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
743,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
742,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
742,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
740,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
740,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
739,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
738,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
738,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
738,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
738,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
735,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
735,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
734,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
733,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
731,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
730,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
727,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
727,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
727,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
725,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
724,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
723,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
722,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
721,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
712,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
711,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
706,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
705,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
700,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
699,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
696,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
693,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
689,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
685,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
672,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
662,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
662,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
