r_amod,id,title,author1,author_gender,category,frmt1,frmt2
32324,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
32286,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
32285,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
32211,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
32006,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
31875,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
31863,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
31857,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
31824,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
31784,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
31755,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
31653,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
31377,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
31334,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
31233,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
30870,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
30778,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
30773,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
30721,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
30718,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
30674,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
30608,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
30591,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
30554,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
30530,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
30514,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
30493,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
30465,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
30440,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
30399,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
30388,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
30081,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
30068,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
30052,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
30032,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
30028,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
29958,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
29934,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
29799,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
29557,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
29455,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
29426,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
29403,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
29354,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
29289,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
29247,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
29235,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
29038,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
28965,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
28899,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
28863,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
28786,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
28754,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
28687,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
28604,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
28595,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
28541,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
28510,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
28361,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
28263,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
28221,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
28014,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
27953,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
27927,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
27870,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
27824,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
27800,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
27759,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
27699,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
27613,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
27607,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
27573,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
27555,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
27409,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
27229,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
27034,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
27032,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
26965,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
26896,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
26846,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
26825,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
26731,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
26668,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
26668,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
26436,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
26413,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
26380,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
26365,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
26193,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
26016,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
25998,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
25986,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
25895,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
25736,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
25652,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
25523,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
25511,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
25497,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
25469,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
25396,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
25376,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
25367,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
25327,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
25299,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
25285,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
25273,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
25256,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
25074,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
25042,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
24804,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
24768,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
24709,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
24676,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
24527,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
24052,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
24036,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
23886,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
23770,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
23765,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
23323,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
23318,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
23279,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
22965,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
22859,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
22767,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
22756,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
22451,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
22147,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
21648,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
21314,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
21289,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
21271,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
20466,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
19709,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
18852,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
17778,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
