r_nsubj,id,title,author1,author_gender,category,frmt1,frmt2
115840,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
115803,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
115568,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
115543,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
115467,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
115320,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
115187,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
115105,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
115002,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
114930,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
114920,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
114620,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
114492,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
114400,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
114370,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
114364,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
114318,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
114285,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
114245,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
114231,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
114212,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
114068,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
113929,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
113922,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
113871,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
113852,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
113818,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
113654,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
113372,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
113248,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
