p_dt,id,title,author1,author2,author_gender,category,frmt1,frmt2
39210,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
39034,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
39009,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
38642,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
38594,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
38369,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
38318,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
38297,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
38237,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
38144,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
38068,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
38028,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
37892,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
37635,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
37631,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
37606,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
37573,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
37485,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
37471,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
37451,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
37425,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
37288,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
37273,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
37177,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
37098,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
37084,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
37026,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
36997,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
36863,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
36706,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
36681,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
36636,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
36595,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
36448,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
36404,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
36336,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
36275,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
36217,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
36116,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
35777,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
35666,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
35655,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
35624,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
35353,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
35311,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
35274,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
35242,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
35191,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
35183,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
35031,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
34954,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
34808,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
34784,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
34446,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
34361,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
34351,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
34316,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
34303,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
34251,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
34214,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
34184,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
34110,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
34000,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
33932,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
33871,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
33857,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
33851,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
33752,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
33589,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
33552,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
33383,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
33381,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
33279,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
33273,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
33267,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
33095,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
32976,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
32954,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
32746,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
32602,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
32548,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
32525,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
32515,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
32454,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
32338,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
32283,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
32204,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
32150,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
32141,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
32109,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
32059,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
32033,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
31808,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
31668,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
31549,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
31533,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
31418,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
31404,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
31176,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
31060,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
31024,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
31009,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
30984,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
30910,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
30829,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
30746,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
30698,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
30592,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
30517,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
30396,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
30295,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
30180,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
30161,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
29624,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
29513,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
29502,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
29501,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
29410,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
29316,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
29239,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
29233,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
28891,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
28861,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
28492,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
27888,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
27364,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
27324,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
27289,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
26620,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
25366,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
