p_rg,id,title,author1,author2,author_gender,category,frmt1,frmt2
5231,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
5224,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
5187,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
5142,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
5119,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
5067,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
5060,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
5044,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
4992,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
4989,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
4967,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
4962,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
4923,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
4922,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
4919,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
4912,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
4865,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
4848,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
4837,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
4776,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
4712,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
4676,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
4635,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
4632,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
4599,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
4597,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
4585,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
4521,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
4494,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
4484,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
4452,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
4442,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
4424,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
4399,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
4399,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
4385,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
4382,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
4346,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
4345,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
4315,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
4312,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
4288,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
4281,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
4264,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
4209,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
4128,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
4105,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
4101,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
4057,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
4051,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
4039,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
3975,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
3972,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
3928,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
3927,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
3907,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
3821,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
3762,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
3732,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
3686,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
3663,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
3649,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
3643,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
3627,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
3615,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
3562,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
3545,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
3518,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
3506,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
3491,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
3487,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
3429,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
3416,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
3395,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
3394,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
3342,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
3304,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
3298,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
3276,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
3226,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
3189,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
3180,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
3176,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
3135,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
3130,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
3114,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
3113,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
3023,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
2977,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
2945,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
2937,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
2889,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
2880,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
2838,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
2792,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
2776,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
2759,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
2727,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
2724,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
2717,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
2715,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
2655,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
2655,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
2647,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
2633,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
2632,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
2620,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
2614,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
2602,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
2590,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
2588,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
2566,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
2524,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
2516,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
2478,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
2463,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
2432,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
2431,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
2390,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
2378,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
2317,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
2245,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
2230,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
2216,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
2167,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
2129,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
2064,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
1942,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
1906,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
1796,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
