r_advmod,id,title,author1,author_gender,category,frmt1,frmt2
82577,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
82165,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
82110,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
80793,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
80780,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
80624,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
80624,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
80373,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
80367,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
80259,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
80242,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
80236,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
80213,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
80019,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
79979,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
79945,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
79866,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
79696,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
79667,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
79571,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
79466,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
79334,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
79166,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
79063,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
79036,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
78402,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
78278,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
77837,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
77829,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
77767,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
77650,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
77140,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
77123,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
77120,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
76591,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
76498,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
76418,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
76416,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
76384,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
76242,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
75725,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
75520,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
75431,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
73711,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
73495,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
73061,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
72892,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
72632,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
72244,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
72208,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
72088,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
72000,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
71782,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
71516,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
70981,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
70713,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
70560,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
70558,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
70458,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
70348,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
70042,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
69030,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
68608,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
68439,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
68112,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
66369,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
66059,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
62647,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
62398,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
61763,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
61489,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
61207,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
60084,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
59424,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
