p_hp,id,title,author1,author_gender,category,frmt1,frmt2
14307,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
14291,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
14179,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
14163,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
14138,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
14007,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
13642,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
13615,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
13596,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
13589,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
13577,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
13555,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
13428,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
13406,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
13389,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
13360,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
13356,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
13289,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
13275,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
13272,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
13261,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
13209,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
13199,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
13191,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
13182,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
13125,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
13052,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
12977,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
12968,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
12958,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
12957,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
12956,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
12941,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
12940,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
12926,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
12925,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
12913,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
12846,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
12773,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
12769,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
12760,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
12694,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
12676,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
12669,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
12634,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
12595,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
12590,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
12566,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
12550,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
12549,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
12534,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
12532,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
12516,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
12484,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
12469,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
12450,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
12342,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
12325,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
12314,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
12307,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
12243,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
12219,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
12184,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
12043,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
12025,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
12007,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
