ttrNN,id,title,author1,author_gender,category,frmt1,frmt2
525,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
524,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
522,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
522,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
521,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
520,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
519,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
519,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
518,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
518,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
518,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
516,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
516,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
516,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
515,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
513,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
513,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
512,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
512,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
512,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
511,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
510,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
510,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
510,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
509,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
508,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
508,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
508,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
508,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
506,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
506,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
504,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
504,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
503,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
503,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
503,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
503,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
503,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
502,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
502,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
500,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
499,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
498,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
498,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
498,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
497,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
497,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
496,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
494,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
494,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
493,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
493,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
492,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
492,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
490,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
490,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
489,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
489,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
489,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
488,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
488,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
487,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
487,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
486,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
486,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
486,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
485,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
482,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
482,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
481,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
479,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
478,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
477,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
477,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
477,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
476,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
476,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
474,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
474,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
474,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
473,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
472,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
472,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
469,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
468,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
467,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
466,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
466,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
464,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
463,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
463,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
457,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
456,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
456,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
456,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
454,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
451,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
449,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
448,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
447,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
445,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
445,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
445,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
442,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
442,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
442,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
438,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
435,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
433,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
432,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
431,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
417,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
412,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
410,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
410,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
408,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
407,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
405,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
395,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
393,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
390,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
381,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
360,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
339,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
