p_ab,id,title,author1,author2,author_gender,category,frmt1,frmt2
78682,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
78542,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
78463,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
78186,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
77572,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
76823,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
76647,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
76458,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
76363,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
76021,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
75989,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
75835,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
75808,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
75644,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
75550,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
75343,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
75202,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
75061,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
74954,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
74735,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
74284,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
74233,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
74187,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
74181,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
73916,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
73863,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
73833,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
73822,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
73568,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
73254,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
72960,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
72737,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
72001,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
71680,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
71586,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
71580,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
71491,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
71472,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
71087,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
70900,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
70767,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
69909,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
69501,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
69361,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
69234,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
69224,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
68864,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
68411,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
68013,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
67845,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
67446,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
67261,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
67203,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
67195,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
66799,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
65631,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
65497,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
64961,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
64932,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
64741,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
64595,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
64385,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
64045,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
64025,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
63686,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
62952,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
62432,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
62143,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
61378,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
60495,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
58890,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
57322,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
57105,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
56757,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
55853,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
54277,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
53923,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
53634,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
