r_dislocated,id,title,author1,author_gender,category,frmt1,frmt2
3306,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
3244,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
3235,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
3184,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
3141,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
3136,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
3134,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
3134,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
3113,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
3106,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
3083,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
3081,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
3063,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
3053,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
3027,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
3016,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
2999,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
2984,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
2973,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
2958,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
2949,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
2948,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
2940,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
2939,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
2927,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
2926,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
2921,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
2899,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
2892,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
2891,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
2883,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
2832,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
2828,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
2820,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
2817,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
2806,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
2805,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
2805,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
2795,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
2792,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
2791,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
2784,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
2780,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
2779,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
2777,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
2776,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
2774,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
2774,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
2772,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
2768,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
2760,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
2752,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
2740,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
2724,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
2720,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
2702,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
2699,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
2693,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
2689,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
2677,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
2669,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
2668,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
2659,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
2658,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
2652,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
2640,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
2637,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
2629,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
2616,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
2608,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
2596,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
2579,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
2579,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
2576,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
2570,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
2563,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
2563,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
2562,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
2556,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
2552,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
2546,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
2541,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
2536,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
2532,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
2532,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
2519,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
2511,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
2497,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
2487,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
2480,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
2478,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
2477,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
2456,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
2448,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
2447,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
2444,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
2435,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
2430,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
2417,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
2416,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
2408,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
2405,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
2394,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
2379,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
2363,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
2345,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
2341,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
2341,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
2333,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
2327,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
2322,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
2307,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
2305,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
2291,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
2282,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
2277,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
2273,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
2270,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
2261,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
2253,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
2251,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
2251,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
2244,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
2231,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
2224,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
2221,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
2209,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
2204,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
2203,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
2201,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
2190,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
2169,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
2160,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
2141,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
2099,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
2060,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
2021,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
1988,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
1976,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
1899,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
1876,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
1870,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
1867,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
1861,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
1849,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
1817,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
1813,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
1666,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
1489,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
