ddm,id,title,author1,author2,author_gender,category,frmt1,frmt2
2887,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
2886,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
2884,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
2879,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
2856,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
2856,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
2849,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
2845,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
2817,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
2805,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
2697,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
2646,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
