r_punct,id,title,author1,author_gender,category,frmt1,frmt2
165936,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
164631,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
164456,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
164383,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
164378,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
164053,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
164030,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
163322,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
163303,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
163178,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
162872,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
162668,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
162087,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
161463,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
161249,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
160998,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
160563,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
160030,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
159133,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
158634,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
158522,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
158318,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
158231,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
157881,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
157446,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
157353,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
157154,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
157144,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
156681,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
156619,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
155985,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
155848,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
155576,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
155210,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
154548,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
154545,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
154241,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
154081,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
153707,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
153582,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
153320,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
152869,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
151991,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
151773,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
151715,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
150415,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
150367,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
150364,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
149913,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
149908,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
149640,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
149503,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
149320,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
149206,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
148450,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
148108,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
147990,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
147926,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
147903,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
147824,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
147763,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
147603,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
147348,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
146035,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
145522,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
145179,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
145081,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
145033,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
144058,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
144055,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
143637,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
143514,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
142300,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
141977,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
141789,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
140933,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
139893,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
139877,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
139774,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
139562,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
139552,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
139477,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
138850,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
138025,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
137706,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
137453,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
137439,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
137394,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
137107,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
136967,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
136895,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
136767,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
136493,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
136372,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
136369,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
134704,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
134355,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
133786,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
133126,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
133011,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
132084,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
131377,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
130820,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
130774,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
130755,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
130201,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
129942,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
129941,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
129367,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
129211,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
129205,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
128772,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
128050,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
127924,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
126989,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
126744,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
126436,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
126426,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
126284,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
126038,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
125866,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
125712,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
125612,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
124508,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
124001,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
123659,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
123293,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
122765,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
122611,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
122500,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
121907,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
121570,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
121512,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
121214,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
119890,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
118710,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
118509,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
118042,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
116869,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
116749,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
115376,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
114476,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
113761,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
113037,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
112600,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
111328,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
93081,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
