p_ma,id,title,author1,author_gender,category,frmt1,frmt2
76065,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
75945,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
75850,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
75794,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
75755,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
75498,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
75441,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
75413,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
75242,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
75171,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
74750,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
74720,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
74677,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
74600,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
74269,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
74029,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
73972,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
73791,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
73578,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
73489,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
73255,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
73253,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
73237,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
73158,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
73032,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
72920,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
72865,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
72864,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
72583,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
72449,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
72299,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
71888,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
71764,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
71424,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
71310,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
71228,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
71139,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
69991,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
69887,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
69698,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
69610,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
68905,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
68502,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
68382,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
67905,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
67568,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
67549,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
67317,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
67127,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
66696,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
66620,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
66390,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
65921,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
65901,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
65883,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
65867,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
65703,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
65137,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
64825,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
64784,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
64709,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
64494,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
64124,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
64104,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
63833,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
63781,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
63179,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
63173,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
62787,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
62720,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
62286,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
62055,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
61966,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
61599,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
61336,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
61320,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
61107,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
59963,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
59531,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
59353,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
58151,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
56933,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
55774,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
55162,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
54460,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
54377,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
54330,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
53965,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
53430,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
52403,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
51954,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
51193,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
50382,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
47687,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
45176,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
41534,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
