r_cc,id,title,author1,author_gender,category,frmt1,frmt2
30960,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
30819,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
30452,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
30241,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
30221,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
30027,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
29772,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
29768,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
29608,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
28787,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
28494,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
28277,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
28276,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
27545,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
27281,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
26912,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
25798,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
25661,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
25292,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
24956,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
24339,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
