p_hd,id,title,author1,author2,author_gender,category,frmt1,frmt2
230,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
229,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
228,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
227,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
227,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
222,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
222,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
221,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
221,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
220,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
215,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
214,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
205,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
200,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
198,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
196,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
195,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
193,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
193,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
191,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
190,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
187,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
181,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
178,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
173,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
169,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
165,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
163,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
162,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
155,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
155,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
149,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
149,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
147,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
144,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
104,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
68,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
