r_aux:pass,id,title,author1,author_gender,category,frmt1,frmt2
207,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
205,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
205,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
204,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
202,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
202,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
196,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
196,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
196,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
195,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
193,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
192,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
191,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
191,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
190,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
189,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
188,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
188,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
188,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
188,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
186,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
184,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
183,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
181,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
179,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
179,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
179,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
178,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
177,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
176,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
175,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
174,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
174,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
173,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
173,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
171,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
170,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
170,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
169,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
169,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
168,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
167,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
166,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
165,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
164,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
163,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
162,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
162,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
159,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
159,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
159,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
159,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
157,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
155,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
154,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
153,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
153,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
153,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
151,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
151,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
150,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
150,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
149,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
149,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
149,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
148,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
147,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
147,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
147,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
146,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
146,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
145,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
145,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
145,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
143,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
142,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
142,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
142,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
141,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
140,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
138,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
136,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
136,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
135,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
133,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
133,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
131,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
130,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
130,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
130,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
129,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
128,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
125,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
123,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
123,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
121,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
119,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
119,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
119,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
118,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
117,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
116,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
115,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
114,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
114,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
111,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
110,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
106,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
104,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
103,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
102,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
101,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
100,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
100,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
96,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
92,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
92,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
91,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
90,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
89,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
88,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
83,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
83,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
77,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
62,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
58,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
0,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
