653,p_hd,frmt2,strm,sell,,,49,83,2655.0,1412.0,2655.0
262,p_hd,frmt2,sell,strm,category,CRIME,33,45,388.5,1096.5,388.5
738,p_hd,frmt2,strm,sell,category,CRIME,45,33,1096.5,388.5,1096.5
623,p_hs,frmt2,sell,strm,,,83,49,2535.5,1531.5,2535.5
377,p_hs,frmt2,strm,sell,,,49,83,1531.5,2535.5,1531.5
628,p_hs,frmt2,sell,strm,category,CRIME,33,45,932.0,553.0,932.0
372,p_hs,frmt2,strm,sell,category,CRIME,45,33,553.0,932.0,553.0
594,common,frmt2,sell,strm,,,83,49,2415.5,1651.5,2415.5
406,common,frmt2,strm,sell,,,49,83,1651.5,2415.5,1651.5
548,common,frmt2,sell,strm,category,CRIME,33,45,813.5,671.5,813.5
452,common,frmt2,strm,sell,category,CRIME,45,33,671.5,813.5,671.5
612,rare,frmt2,sell,strm,,,83,49,2489.0,1578.0,2489.0
388,rare,frmt2,strm,sell,,,49,83,1578.0,2489.0,1578.0
654,rare,frmt2,sell,strm,category,CRIME,33,45,971.5,513.5,971.5
346,rare,frmt2,strm,sell,category,CRIME,45,33,513.5,971.5,513.5
474,ttrall,frmt2,sell,strm,,,83,49,1929.5,2137.5,1929.5
526,ttrall,frmt2,strm,sell,,,49,83,2137.5,1929.5,2137.5
562,ttrall,frmt2,sell,strm,category,CRIME,33,45,834.0,651.0,834.0
438,ttrall,frmt2,strm,sell,category,CRIME,45,33,651.0,834.0,651.0
491,ttrNN,frmt2,sell,strm,,,83,49,1998.0,2069.0,1998.0
509,ttrNN,frmt2,strm,sell,,,49,83,2069.0,1998.0,2069.0
548,ttrNN,frmt2,sell,strm,category,CRIME,33,45,813.5,671.5,813.5
452,ttrNN,frmt2,strm,sell,category,CRIME,45,33,671.5,813.5,671.5
535,ttrVB,frmt2,sell,strm,,,83,49,2174.0,1893.0,2174.0
465,ttrVB,frmt2,strm,sell,,,49,83,1893.0,2174.0,1893.0
615,ttrVB,frmt2,sell,strm,category,CRIME,33,45,913.5,571.5,913.5
385,ttrVB,frmt2,strm,sell,category,CRIME,45,33,571.5,913.5,571.5
372,ttrJJ,frmt2,sell,strm,,,83,49,1514.5,2552.5,1514.5
628,ttrJJ,frmt2,strm,sell,,,49,83,2552.5,1514.5,2552.5
396,ttrJJ,frmt2,sell,strm,category,CRIME,33,45,588.0,897.0,588.0
604,ttrJJ,frmt2,strm,sell,category,CRIME,45,33,897.0,588.0,897.0
650,wc,frmt2,sell,strm,,,83,49,2642,1425,2642.0
350,wc,frmt2,strm,sell,,,49,83,1425,2642,1425.0
778,wc,frmt2,sell,strm,category,CRIME,33,45,1155,330,1155.0
222,wc,frmt2,strm,sell,category,CRIME,45,33,330,1155,330.0
608,plm,frmt2,sell,strm,,,83,49,2471,1596,2471.0
392,plm,frmt2,strm,sell,,,49,83,1596,2471,1596.0
520,plm,frmt2,sell,strm,category,CRIME,33,45,772,713,772.0
480,plm,frmt2,strm,sell,category,CRIME,45,33,713,772,713.0
735,ddm,frmt2,sell,strm,,,83,49,2988.5,1078.5,2988.5
265,ddm,frmt2,strm,sell,,,49,83,1078.5,2988.5,1078.5
692,ddm,frmt2,sell,strm,category,CRIME,33,45,1028.0,457.0,1028.0
308,ddm,frmt2,strm,sell,category,CRIME,45,33,457.0,1028.0,457.0
