id,title,author1,author_gender,category,frmt1,frmt2,n,common,rare,ttrall,ttrNN,ttrVB,ttrJJ
bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm,10000,758,34,210,516,202,481
bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm,10000,792,20,193,447,186,475
bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm,10000,750,34,188,417,182,467
bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm,10000,723,44,235,538,214,525
bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm,10000,734,42,238,522,223,565
bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm,10000,769,36,208,504,191,502
bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm,10000,776,35,198,553,169,460
bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm,10000,753,40,202,445,205,419
bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm,10000,810,17,168,410,164,442
bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm,10000,768,32,206,515,187,512
bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm,10000,752,23,196,432,192,454
bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm,10000,727,41,221,463,226,437
bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm,10000,785,29,193,545,177,426
bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm,10000,725,41,236,549,220,558
bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm,10000,748,39,209,476,210,494
bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm,10000,735,46,227,486,231,499
bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm,10000,756,38,223,516,213,479
bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm,10000,816,18,164,474,166,457
bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm,10000,773,33,188,456,184,485
bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm,10000,783,29,194,457,201,490
bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm,10000,755,29,215,494,202,498
bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm,10000,755,30,218,497,207,471
bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm,10000,758,32,204,442,206,474
bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm,10000,705,50,243,518,229,521
bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm,10000,727,47,235,541,218,576
bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm,10000,762,38,220,486,206,506
bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm,10000,763,37,212,535,185,502
bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm,10000,746,42,226,542,206,499
bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm,10000,771,25,208,529,189,452
bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm,10000,760,36,219,538,212,496
bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm,10000,747,36,212,473,203,442
bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm,10000,771,42,216,481,219,522
bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm,10000,738,50,233,568,204,490
bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm,10000,756,31,210,482,205,531
bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm,10000,748,38,203,487,195,430
bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm,10000,763,44,207,412,215,496
