id,title,author1,author2,author_gender,category,frmt1,frmt2,wc,slm,slsd,plm,plsd,ddm,ddsd
bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm,118136,13594,8807,36620,44543,3267,1541
bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm,99510,13397,9214,22997,20871,3287,1491
bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm,91887,9466,6509,15908,15913,2922,1343
bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm,76232,12705,7437,24316,21024,3160,1413
bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm,161122,13708,9840,29466,26714,3285,1556
bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm,97833,10919,7566,24144,18710,3100,1446
bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm,93228,11728,6916,32989,36922,3071,1386
bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm,98305,10428,5755,16480,11842,2879,1232
bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm,90963,11280,7174,47600,49484,3015,1337
bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm,109836,9749,7507,26537,28401,3013,1442
bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm,74986,11018,7803,18732,18014,3069,1386
bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm,101540,12945,8994,22060,20086,3253,1484
bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm,70517,11220,6854,26894,37719,3025,1348
bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm,97768,9767,6524,16512,16105,2931,1338
bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm,12781,9847,6864,25820,33718,2925,1319
bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm,86873,10579,5961,27746,31812,2935,1287
bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm,93854,12203,7527,24296,21474,3133,1402
bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm,141055,14531,11267,37796,29412,3326,1545
bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm,116471,11061,7083,17384,13277,2982,1325
bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm,119996,9301,6697,19870,26892,2893,1325
bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm,116035,9489,6619,42833,64243,2887,1307
bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm,86786,10693,6966,46534,46450,2967,1330
bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm,103479,11104,7972,19071,19643,3099,1397
bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm,88677,12774,8787,23398,21567,3237,1454
bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm,69803,11321,6906,27203,36188,3026,1342
bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm,99004,12638,7966,25856,22297,3156,1409
bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm,91709,9775,5870,22341,20820,2856,1231
bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm,119130,10279,6832,23119,24033,2957,1322
bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm,78198,10633,6986,38731,39635,2951,1309
bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm,83794,19114,13162,40305,48266,3593,1659
bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm,95128,14854,9779,38987,45271,3351,1530
bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm,89896,12651,8740,30713,28266,3222,1492
bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm,117508,10944,8038,18673,19123,3085,1403
bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm,92297,11330,8370,18357,17845,3120,1422
bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm,105427,13293,7462,48877,42543,3210,1463
bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm,22505,12524,6443,37076,36663,3030,1281
bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm,99895,11979,7325,23672,19830,3094,1371
bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm,84265,11019,6094,28927,26795,2991,1340
bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm,91641,11037,7075,36982,35867,2991,1328
bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm,104363,11462,7492,40514,39067,3022,1349
bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm,103212,10764,7849,17646,17308,3050,1382
bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm,64661,11099,6764,26105,31779,3005,1316
bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm,101971,10429,6070,26863,29368,2924,1280
bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm,146203,15018,10355,31950,28866,3342,1551
bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm,43119,10911,8218,24597,23093,3021,1358
bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm,85697,10997,6384,27397,24911,3022,1379
bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm,89709,11197,6183,38239,43229,2991,1311
bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm,116640,15339,10187,53554,39485,3319,1489
