id,title,author1,author2,author_gender,category,frmt1,frmt2,listyears
SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell,2016_no_no
SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell,no_2016_no
SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell,no_2016_no
SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both,2016_2017_2016
SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both,2017_2018_2017
SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell,2017_no_no
SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell,no_2017_no
SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell,no_2017_no
SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell,2017_no_no
SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell,no_2017_no
SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell,no_2017_no
SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell,no_2017_no
SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell,2017_no_no
SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell,no_2017_no
SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell,2016_2017_no
SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell,2016_no_no
SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both,2016_2017_2017
SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell,no_2016_no
SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell,no_2016_no
SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both,2017_no_2017
SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell,2017_2018_no
SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both,2017_2018_2017
SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell,2017_no_no
SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell,2017_no_no
SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both,2017_no_2017
SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both,2017_no_2017
SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell,2017_no_no
SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both,2017_2018_2017
SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both,2017_no_2017
SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell,no_2017_no
SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell,no_2017_no
SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both,2018_no_2018
SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell,2018_no_no
SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both,2018_2019_2019
SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell,2018_no_no
SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both,2018_2019_2018
SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both,2018_2019_2018
SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell,2018_no_no
SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both,2018_2019_2018
SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both,2018_no_2018
SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell,2018_2019_no
SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell,2018_2019_no
SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell,2018_no_no
SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell,no_2018_no
SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell,no_2018_no
SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both,no_2018_2019
SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell,no_2018_no
SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell,no_2018_no
SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell,no_2018_no
SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell,no_2018_no
SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell,no_2018_no
SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell,no_2018_no
SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell,no_2018_no
SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both,no_2018_2018
SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell,no_2018_no
SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both,no_2018_2017
SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both,2019_na_2019
SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both,2019_na_2019
SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell,2019_na_no
SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell,2019_na_no
SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell,2019_na_no
SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell,2019_na_no
SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both,2019_na_2019
SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell,2019_na_no
SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell,2019_na_no
SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both,2019_na_2019
SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell,2019_na_no
SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both,2019_na_2019
SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell,2018_no_no
SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell,2019_na_no
SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell,no_2019_no
SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both,no_2019_2018
SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell,no_2019_no
SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell,no_2019_no
SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell,no_2019_no
SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both,no_2019_2018
SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell,no_2019_no
SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell,no_2019_no
SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell,no_2019_no
bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm,no_no_2015
bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm,no_no_2015
bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm,no_no_2015
bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm,no_no_2015
bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm,no_no_2015
bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm,no_no_2015
bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm,no_no_2015
bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm,no_no_2015
bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm,no_no_2015
bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm,no_no_2016
bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm,no_no_2016
bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm,no_no_2016
bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm,no_no_2016
bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm,no_no_2016
bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm,no_no_2016
bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm,no_no_2016
bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm,no_no_2016
bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm,no_no_2016
bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm,no_no_2016
bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm,no_no_2016
bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm,no_no_2016
bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm,no_no_2017
bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm,no_no_2017
bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm,no_no_2017
bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm,no_no_2017
bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm,no_no_2017
bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm,no_no_2017
bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm,no_no_2017
bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm,no_no_2017
bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm,no_no_2018
bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm,no_no_2018
bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm,no_no_2018
bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm,no_no_2018
bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm,no_no_2018
bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm,no_no_2018
bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm,no_no_2018
bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm,no_no_2018
bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm,no_no_2018
bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm,no_no_2018
bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm,no_no_2019
bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm,no_no_2019
bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm,no_no_2019
bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm,no_no_2019
bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm,no_no_2019
bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm,no_no_2019
bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm,no_no_2019
bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm,no_no_2019
bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm,no_no_2019
bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm,no_no_2019
