id,title,author1,author2,author_gender,category,frmt1,frmt2,p_vb,p_nn,p_pn,p_pp,p_ab,p_ma,p_mi,p_kn,p_jj,p_dt,p_pm,p_pl,p_sn,p_pa,p_hp,p_ps,p_ie,p_ha,p_pc,p_rg,p_in,p_ro,p_uo,p_hd,p_hs,r_punct,r_nsubj,r_advmod,r_case,r_root,r_obl,r_obj,r_mark,r_conj,r_cc,r_det,r_amod,r_aux,r_advcl,r_compound:prt,r_nmod,r_cop,r_nmod:poss,r_parataxis,r_xcomp,r_fixed,r_acl:relcl,r_ccomp,r_expl,r_nsubj:pass,r_acl,r_nummod,r_flat:name,r_dislocated,r_appos,r_csubj,r_iobj,r_discourse,r_obl:agent,r_orphan,r_aux:pass,r_compound,r_csubj:pass,r_list
SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell,187668,129367,116341,82772,86559,79528,67980,40311,36963,30829,38918,15887,23891,4703,10389,10791,9603,9482,7817,2889,5442,1122,430,243,75,151715,123074,89047,73001,79715,55599,55590,47221,36084,31867,30708,22451,23620,27341,16616,18009,18337,14681,11922,12427,11062,8603,12820,7368,3404,4526,2029,739,2740,2020,2300,1646,944,168,122,327,56,94,9
SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both,164578,166317,86683,101261,88689,61107,54351,43329,48243,41525,27671,14007,22680,4800,12940,10159,14909,7480,12013,10261,4038,2057,356,470,76,119890,97680,93134,83508,62237,59151,47189,52916,35074,34478,41589,36090,23404,27684,14794,27607,16483,17410,11543,12978,19442,11391,9423,8102,5397,6769,7734,4229,2921,2616,2972,1854,1410,241,254,216,89,102,0
SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell,194795,129348,135306,77377,74284,77835,51849,46671,38399,30746,21977,19933,23174,4721,15602,13679,9751,12589,7734,5353,4627,1278,2488,444,40,133786,128783,80780,66940,78238,54069,55050,48030,39099,38494,31258,25299,25716,26564,20040,13342,20511,17229,15602,13275,10061,12966,12656,7774,4412,3833,4277,982,3766,1991,1735,1614,847,161,175,188,323,134,0
SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both,174498,140417,110452,81677,79210,92394,58313,34057,37177,34808,40188,17783,13655,22350,12769,11627,7102,7560,8641,8446,3914,885,1667,354,55,172196,116741,79466,72773,90849,53433,50093,31150,28659,26912,35052,26668,27895,18235,18351,21905,18986,17398,15822,11255,13795,10357,8592,5472,4061,3493,6070,3432,3053,3462,1289,1203,1099,275,134,147,159,61,6
SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both,186492,126827,128003,82267,103005,83176,50305,46246,43318,33381,15149,24909,18099,89,9538,11068,9183,9582,6166,4281,6499,1109,821,488,0,133126,111390,101164,74659,86281,57802,48553,38394,39548,39193,33692,28014,29544,20938,25463,17123,18765,13042,10868,13730,11157,7120,8628,8318,3017,3460,3615,1131,3638,1176,2373,2307,2262,155,67,111,67,44,67
SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell,186114,147154,102312,91249,57105,66620,67496,46884,41812,35191,37395,22706,14706,29361,7923,13166,7285,8187,11625,2647,1889,596,485,68,26,162668,113929,62398,84951,65573,66909,54722,29642,49156,43310,35250,35982,18417,19642,22450,18519,14689,19310,23574,12136,6110,7064,8255,5311,5021,2970,2383,2962,1813,1268,1098,1583,264,136,238,102,111,85,0
SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both,181045,151990,106372,88525,69501,71228,85664,37282,42098,33752,38772,21616,12006,2019,10581,11326,8303,7623,10171,4632,3725,551,831,346,43,158231,115885,73495,80762,73765,60161,53067,29444,44721,32229,33978,27824,24822,19111,21691,21972,17858,16789,22296,11197,9901,10300,6791,5614,5453,3919,3595,4977,2203,3218,1576,1285,1058,292,162,205,97,54,0
SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both,180120,117334,135571,76415,73254,79078,63897,39222,40057,33267,19356,18362,21157,33515,10578,17078,11179,9895,8053,4051,6390,676,1208,200,90,175752,116271,77767,66844,70494,52802,55431,44735,35778,33425,33294,27229,26766,25214,18762,15829,18217,20384,16692,11386,8529,9171,10709,5734,2829,3809,3216,1946,2201,2505,1615,2629,1428,110,228,104,110,48,7
SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell,161723,148385,104208,82348,84655,88104,70771,49910,43391,39433,24939,20621,12936,296,18813,8392,6482,9843,8932,10010,2973,1812,818,190,14,157881,102483,84313,74969,89736,49258,48518,29363,48893,42730,39498,34149,22909,17148,20958,24814,12983,13921,8392,8558,11055,19021,6103,5654,4152,3690,8179,1230,2774,3708,1045,939,291,213,222,92,102,55,0
SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell,187492,130515,100365,79630,106569,69887,66878,41988,44749,27289,47543,19103,20836,28,8208,6334,11759,10500,8959,2478,7717,440,237,485,11,136493,109295,110486,69819,70417,53126,49615,43140,45793,37049,27830,25736,37416,25680,20125,16913,20147,10997,12543,13210,10777,9043,11132,6633,3664,4748,1592,1180,2546,3189,3500,1507,3974,181,209,181,23,85,6
SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell,177022,158865,111595,95467,73568,74600,28972,50695,47716,42379,34039,14709,16679,9618,12926,14803,7800,9911,9806,4105,1314,1419,1572,235,188,113037,113119,80242,85649,73274,65369,56489,37018,46027,42215,42555,32608,29992,21664,15248,19952,16163,20034,6909,12856,12762,11507,7917,4457,3753,3789,3554,13806,1666,2006,1290,2100,411,164,94,129,106,70,0
SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell,186147,121217,127178,77726,71680,83350,52486,38886,36695,31009,31055,20382,20205,37177,10582,14137,9831,8605,8229,5670,5639,667,1050,291,107,172125,117478,76416,68983,73090,56203,56777,40886,32373,32710,31239,24527,29860,23209,20726,14643,17079,17692,18795,13279,10390,9233,10536,6835,2858,3678,4605,3961,2253,2153,1816,1893,1096,92,207,130,123,54,0
SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell,185509,122945,132744,78816,71491,80262,53954,35472,42642,33857,23105,19206,19057,32485,10981,16638,10272,8785,10299,4264,4514,818,1379,378,128,166114,117309,76498,69342,70470,55191,57502,40297,34127,29768,34154,28863,30309,23004,19658,16394,18584,20192,18469,13144,10333,10008,10650,6156,3669,3656,3122,2433,2669,2257,1629,2379,885,196,189,142,115,108,14
SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell,197058,119011,112740,83218,86596,73578,47484,39954,37755,30592,33208,21349,21230,27214,12958,11096,16525,12176,9679,2516,2615,773,159,485,30,147603,115187,92837,68823,67832,53378,54309,53616,34278,34208,30919,22756,30691,30374,21993,14741,19378,15068,13335,15435,11106,9501,11363,8262,4201,4835,1892,1427,2883,1179,3576,1684,555,139,159,258,30,188,0
SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell,183733,134222,107446,71690,108308,59531,71182,56865,48142,27888,29839,17288,19128,73,10478,8406,10246,10362,10197,2317,11346,507,293,458,55,130774,107250,110380,63681,59812,47102,49340,39326,59855,51926,28378,27699,35591,24924,18162,17044,21665,13229,12098,13058,10833,11499,10258,7819,3967,4652,1699,905,3136,2769,2720,1699,6254,165,92,159,12,67,0
SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell,198217,108991,141162,76092,85762,93491,45739,36126,38918,30910,36633,16745,22959,1155,15426,13985,11488,10751,7091,3545,3193,999,197,418,8,139893,131721,90355,64653,94105,51331,55425,48203,23623,28494,31147,23770,28806,23786,17637,13101,19193,18939,12986,13977,10382,11480,13191,8188,4774,4512,2751,2825,3349,1245,2546,2022,811,221,205,188,16,147,0
SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell,187870,123454,109561,83733,86561,73032,43323,51429,39119,37485,30812,22959,18573,22175,12532,11095,11257,10842,9562,5328,4650,1108,3081,354,106,137453,105022,89591,70452,69455,53093,52987,45428,39079,42514,37692,28510,34105,25519,23263,17172,18588,14789,11343,11687,16919,11004,9173,7169,4928,4488,4007,4189,3471,1670,1745,1493,1138,197,212,96,233,121,5
SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell,187544,117059,114886,77259,75989,78985,54547,39936,46814,32338,44354,14835,20116,30349,9778,15834,10697,9171,9610,3180,4418,927,1023,304,48,163322,114231,80367,67241,70812,53764,52159,44098,35270,31723,32474,30773,34615,22728,15298,15674,20555,22193,19413,12375,12175,8947,9842,6583,3771,4266,2229,2596,2341,2492,1901,1686,1262,248,248,192,80,56,0
SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell,174415,135256,113885,87803,70767,55162,58556,53407,53062,41698,32359,15261,19324,23941,13589,12670,8962,8983,11970,3342,3374,1347,554,178,136,137439,111420,76418,80209,49229,62223,53710,40559,49396,45406,41729,36924,24264,24275,15605,19574,16065,18102,18217,15334,10466,14592,7583,4679,5546,4857,2705,3750,1849,2476,1379,1880,1285,324,167,230,63,73,0
SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell,180515,116746,141307,73859,95456,88782,45267,48845,43238,36404,18034,18224,18633,16209,9053,13945,9024,10163,8776,1942,4074,1139,58,292,15,149908,117257,97909,65462,86621,49838,56935,39733,33994,40361,36608,27759,25277,22050,18720,14062,17698,16267,10996,13449,11945,8192,9900,8601,3256,4454,1489,701,2891,1475,2103,2176,1416,161,102,146,29,58,0
SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell,194163,130646,106080,86516,75808,79253,48812,32711,40178,34784,46845,22403,17526,29755,12007,8296,11108,8990,8385,2590,1842,418,623,214,45,157144,118559,80259,76031,75123,59956,54340,39813,27780,27281,34865,29934,33716,23819,23115,16458,16992,13066,17962,12274,11197,10547,8874,8126,4210,3587,2029,3338,2448,1549,2528,2065,338,187,169,116,125,80,0
SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell,184352,149332,109256,95544,53634,78928,48904,41461,41480,39034,37600,22417,15470,27013,13272,5112,9345,7855,10358,6431,1701,1022,96,382,0,154081,113852,60084,85053,74838,63706,58030,36416,38279,35900,39406,30778,26554,20410,22742,22675,18289,8801,13865,9775,8476,12059,8380,6794,5695,3832,5122,7491,2828,1338,1749,1691,210,363,182,153,48,57,0
SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell,186536,118794,118377,83799,86216,82284,45586,42078,40671,35655,39526,20473,17296,20898,12219,10233,10644,9681,10220,4484,2733,1003,263,289,40,148108,115320,88269,72690,79504,54775,55449,40186,35918,35797,35608,26896,28916,24163,21052,17329,17047,13983,13371,12805,12637,10752,8974,6921,3743,4073,3541,2908,2659,1421,2141,1676,741,209,121,215,40,40,0
SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell,155238,150146,95110,85355,84566,79436,74357,43829,49641,42624,34673,17087,13510,473,17087,10607,9295,10014,12039,9250,2922,1653,801,227,57,153320,94019,85721,75979,80471,50341,46782,35210,45470,35487,42952,40024,20937,19668,17605,26079,12279,18053,8380,10834,11945,18299,5925,5660,6234,5275,7458,8468,2720,4543,1325,1205,303,398,259,151,158,63,0
SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both,184744,166886,95546,99378,56757,62787,68305,48425,42459,39340,35832,25730,16541,182,7801,10751,7211,8196,12729,4312,2574,869,2445,169,32,130820,110408,61763,91980,64473,69051,58903,32467,56750,44307,39470,38121,18766,22131,25905,24666,14304,16554,13410,12469,8572,7600,10141,4533,4766,2963,3793,3664,1867,1446,1154,1634,434,149,162,149,195,58,0
SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both,176943,126751,105795,87533,89377,67549,63531,36517,43277,42021,47964,14250,18316,702,21443,15141,8753,10941,8482,7240,5396,1398,405,263,14,131377,111170,90842,75147,67907,54022,48943,40758,30864,28277,41764,33991,32917,22793,14696,22928,16911,19525,18430,9205,18059,17269,7949,7260,4255,4977,5990,9705,3856,2262,2323,1668,1209,263,115,169,81,122,0
SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell,174339,149690,106038,92722,103060,58151,33624,55508,53949,39515,29977,18538,20178,1436,11758,8665,11635,10803,8967,7033,1346,1983,898,155,33,93081,106046,106944,82335,58469,59938,47609,47495,42322,43375,39630,38014,27758,28533,18766,26175,22234,13659,8420,14222,15503,11570,8420,8118,4088,5312,5728,4218,3313,2464,3011,1518,849,269,188,188,147,73,0
SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell,173203,151979,106392,90846,65497,85975,52622,42327,43312,40761,27616,21581,16307,23237,10354,7445,7132,9384,10235,6587,2872,1104,3081,149,0,160998,110197,70458,82431,81723,59783,50347,34964,39567,35031,40738,30608,22767,20239,21917,23528,17023,11235,14315,10481,10533,10697,7699,5192,4454,4200,4737,4841,2305,2283,1149,1761,545,403,179,119,492,60,0
SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell,153448,188171,83377,98036,53923,72920,58792,43786,48505,46152,33989,18228,12741,18167,11722,14074,7030,8404,12816,10396,1197,1945,1543,422,218,149206,102122,59424,91053,71363,63428,51523,29501,47430,37089,46431,40937,16780,18018,18582,31466,13782,23137,13027,9709,9396,12871,6228,3862,5806,3937,8308,5290,1489,4385,1108,1897,326,354,258,88,279,75,34
SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both,198542,120322,113913,82061,85615,73255,51917,37218,39809,30396,31244,20134,22060,25213,12773,10950,16350,11890,10136,2064,3004,573,69,424,69,149640,115105,92288,67533,67786,53224,54084,54073,32265,31256,30671,24709,33503,30063,21315,13575,18540,16144,13667,14848,11718,9884,12372,7785,4437,4712,1766,1043,3027,1754,3692,1949,837,183,195,149,23,172,11
SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both,184217,141763,113124,89036,81871,81263,45727,44266,51564,38068,30481,20053,16141,113,11591,11591,9481,9131,11736,3562,3881,751,309,257,21,126744,113248,86338,79307,81778,59758,52017,37554,41589,37718,38202,34857,27064,21484,20475,20918,18839,15606,11025,13866,10418,10675,7649,6650,6084,3788,2677,4087,2532,1482,2121,1709,1040,154,165,226,51,103,0
SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both,196814,119518,136883,78819,80628,67905,54110,41878,38267,28492,28967,16506,27493,17865,9956,13550,11560,12510,8482,4585,2161,1384,1392,270,8,139552,124757,88529,67013,66153,52284,52710,51629,39528,35746,28688,22147,32585,29687,16604,16104,20214,18200,14410,15318,11634,9022,14508,7704,3889,3864,3570,2055,2792,3087,2661,1957,565,229,196,254,65,90,0
SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell,171436,133689,101796,91467,83348,73158,56231,39662,42598,34303,46153,18717,13546,29721,11800,15649,7825,8244,10498,4776,3593,914,419,351,106,158522,106478,87129,80813,64063,63186,52813,32488,35825,33602,34616,32845,27593,21145,19042,19023,14742,21634,20607,10942,13196,9678,6041,5083,4113,3843,3994,7518,2579,2216,1246,1759,889,163,300,119,88,69,0
SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell,182145,143299,136170,86630,82318,86213,51018,43228,33856,30517,10607,21962,15024,20066,9772,11476,7668,10746,6190,5060,4434,817,591,191,0,156619,123650,85465,78962,84248,60495,52235,32534,37820,37368,30413,20466,22675,20119,22240,19753,18745,15337,15198,9425,9703,9564,8712,6677,3460,3634,3756,713,3339,1635,2069,1513,922,139,87,174,70,70,0
SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell,179971,149348,127943,81520,71472,66696,67517,53181,48665,36997,15810,14855,17751,2678,10495,14004,8066,9135,8159,7391,5097,1588,1360,291,10,136767,118216,75520,73434,67496,56077,51001,35845,56492,46641,37174,30530,26211,22028,15613,19672,22319,17772,14554,10287,11533,11761,9727,6581,3727,4391,5076,1547,2927,3166,1734,2159,1308,135,228,135,156,42,21
SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell,192759,132294,147257,81883,64595,69610,85081,38446,39189,29513,30610,17476,12591,448,9157,8697,6030,7670,6738,5877,12367,661,885,165,0,155210,131173,68112,75605,69846,57126,53963,26952,48594,33242,29477,23318,23931,22846,17642,20615,21406,14385,26338,10927,9818,12072,7859,8095,3021,2608,4425,1888,2820,3623,2183,1841,8390,153,142,142,177,35,0
SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell,176025,137346,131996,92588,74233,54330,66073,40798,45509,38318,16176,18085,20962,16462,10902,16958,12292,11353,10752,3907,2968,1014,571,286,98,136369,111492,80236,80499,50588,60303,52459,47192,44780,34712,38596,31233,25343,28108,18415,23344,18543,20068,15042,12465,11105,12337,10023,7130,5042,5372,2772,3313,2570,3952,2179,2720,947,195,143,255,90,68,0
SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both,197175,121674,118772,84825,85807,68502,49096,38823,39793,31024,31685,19470,22799,21796,12941,11341,16184,11917,8940,2230,2507,693,1515,469,21,138850,116713,92528,70348,64000,53694,55401,54697,31963,33158,31440,24804,34726,30608,20302,15960,19662,16589,12802,15117,11906,10316,11927,8183,4470,4822,1856,1387,3393,1515,3531,1750,640,181,256,128,288,85,0
SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both,198720,112841,120889,80852,87547,74269,46473,42618,40184,29239,40105,20650,22070,17449,12342,13222,14710,10618,8431,2390,2480,1014,575,316,0,137706,118161,93217,67303,72387,52470,54262,51207,33308,36329,29814,25497,34108,27864,21405,15284,19049,18204,11351,15544,12252,9457,12140,8014,3900,4576,1826,2288,2795,1510,3258,2018,631,113,225,225,79,225,0
SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell,151361,168014,78114,97768,92104,55774,55157,46740,60227,45176,35796,14306,15773,14006,11448,9086,11380,8597,15187,6800,3588,1437,1632,459,68,124508,89284,95835,86380,54420,57775,47252,42972,39828,35503,45710,51645,24040,24483,14239,33472,17639,17293,11945,11982,15187,11523,5626,5724,6326,6619,5483,5122,2204,3889,1941,1294,1549,436,263,173,346,90,0
SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell,174977,149250,106400,86627,83934,79789,50773,38635,44485,37026,26733,21889,17778,19475,13406,11473,11342,8465,8806,4399,2344,901,656,306,131,149503,109294,88009,74900,76081,56055,56177,41687,40139,31412,37035,30870,20245,23069,22335,22125,17044,16580,11220,13537,12488,11797,9147,4818,4416,4748,3489,1828,2282,2387,1758,2169,586,236,271,114,96,52,0
SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell,180089,122127,111234,88468,94815,64494,44286,50125,39048,37471,27757,22703,20988,24124,14138,10667,12279,11378,10321,4967,4782,1016,2345,260,121,132084,104084,98471,72689,57685,54537,52787,50881,35698,40289,37505,29247,29276,29039,23142,18343,18978,13942,14219,11320,18620,12330,9050,7889,4153,4678,4135,3812,3754,1507,1871,1692,1479,248,185,58,266,52,6
SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell,175173,146518,109571,92356,90254,47687,45917,38218,50906,48447,25566,11132,26421,19270,13555,15812,15741,9765,10359,2566,2257,1105,760,499,143,112600,97643,91655,77482,46226,56716,50871,58320,31732,30960,49029,38587,34833,29962,11619,30770,20172,21242,9302,13543,18474,12652,11512,9124,5809,7556,2352,6083,2958,2542,3421,2637,796,261,178,154,48,178,0
SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell,185653,118757,129483,80596,72737,45176,80385,54191,41808,32525,29996,13444,22011,25333,13275,11869,11630,12226,9317,4209,2575,1588,687,291,237,150364,115543,82712,69423,36781,53737,52791,46847,53241,47580,32642,25042,30743,30039,13566,18474,19016,16572,20981,14607,11493,13700,10655,5601,4238,5507,3143,1922,2444,5213,1577,2028,793,297,274,248,77,88,0
SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell,172346,144055,122935,86573,76458,91134,41127,35523,46032,44050,16841,14009,14717,19602,13261,20543,10186,10661,10327,3975,2377,1598,870,486,314,150367,110150,82577,77216,89051,59758,57260,35786,33723,28787,44262,32286,25317,20938,14727,18004,15627,24680,8416,11875,11703,10499,7192,4805,3287,4329,3449,5411,2417,1477,1396,2124,465,223,152,121,111,30,0
SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell,185826,132580,115575,82718,87300,62055,69645,37941,38636,39818,27883,18712,17374,22451,15697,8506,8957,10538,8425,3821,2638,939,1678,222,67,153582,114370,91764,73458,60407,54037,51835,37498,38089,32059,39803,24676,31623,24062,18808,19702,18135,11965,19857,11891,11048,15985,8780,9068,5358,4501,3111,2638,3488,3096,2121,1463,732,325,207,207,200,52,0
SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell,171848,161634,111772,99643,54277,63173,64396,46453,40422,41740,18364,18377,19342,16557,17766,16218,8516,10038,13311,2717,964,1127,1005,149,190,143637,110414,61489,90841,59248,66664,51737,38955,49889,40205,41699,31784,23362,22004,18622,24748,13868,23539,13243,11464,8326,17888,8965,4482,5392,5324,1807,1290,2160,3043,1059,1752,149,353,244,149,122,81,0
SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell,186984,147482,113114,86401,81989,72299,59446,40066,41444,35353,30840,14631,20236,5755,11204,14667,9547,11982,7198,4848,2528,1185,500,271,29,137107,119441,87337,75355,72406,57218,57496,43436,38702,32233,35339,26413,26392,26606,15074,19451,19615,20344,11996,13903,11518,10932,11311,6020,3827,4927,3863,621,3106,2513,2064,2156,436,236,150,293,107,57,0
